!	! ⚠️ ❕ ❗️
!!	!! ‼️
!?	!? ⁉️
#	# #️⃣
$	$ 💰
冥思	冥思 🧎‍♀️ 🧎‍♂️
冥思的人	冥思的人 🧎‍♀️ 🧎‍♂️
冥思的女性	冥思的女性 🧎‍♀️
冥思的男性	冥思的男性 🧎‍♂️
冥想	冥想 🤔 🧎‍♀️ 🧎‍♂️ 🧘‍♀️ 🧘‍♂️ 🧘🏻
冥想嘅人	冥想嘅人 🧎‍♀️ 🧎‍♂️
冥想嘅女人	冥想嘅女人 🧎‍♀️
冥想嘅男人	冥想嘅男人 🧎‍♂️
冥想女	冥想女 🧘🏻‍♀️
冥想珠	冥想珠 📿
冥想男	冥想男 🧘🏻‍♂️
冥想的人	冥想的人 🧎‍♀️ 🧎‍♂️
冥想的女人	冥想的女人 🧎‍♀️
冥想的女性	冥想的女性 🧎‍♀️
冥想的男人	冥想的男人 🧎‍♂️
冥想的男性	冥想的男性 🧎‍♂️
冬季仙境	冬季仙境 ❄️
冬季运动	冬季运动 ⛷ 🎿 🏂
冬日幻境	冬日幻境 ❄️
冬甩	冬甩 🍩
冰	冰 🍦 🧊
冰上曲棍球	冰上曲棍球 🏑 🏒
冰上曲棍球杆	冰上曲棍球杆 🏒
冰上曲棍球杆和冰球	冰上曲棍球杆和冰球 🏒
冰上曲棍球棒同冰球	冰上曲棍球棒同冰球 🏒
冰上溜石	冰上溜石 🥌
冰冷	冰冷 ❄️ 🥶
冰冷的脸	冰冷的脸 🥶
冰冻	冰冻 ❄️ 🥶
冰冻酸奶	冰冻酸奶 🍦
冰刀	冰刀 ⛸️
冰刀鞋	冰刀鞋 ⛸️
冰品	冰品 🍦 🍧 🍨
冰块	冰块 🧊
冰壶	冰壶 🥌
冰壶球	冰壶球 🥌
冰壶石	冰壶石 🥌
冰天雪地	冰天雪地 ❄️
冰寒	冰寒 🥶
冰岛	冰岛 🇮🇸
冰岛国旗	冰岛国旗 🇮🇸
冰岛旗	冰岛旗 🇮🇸
冰沙	冰沙 🍧
冰淇淋	冰淇淋 🍦 🍧 🍨 🍨️
冰淇淋勺	冰淇淋勺 🍨
冰淇淋杯	冰淇淋杯 🍦
冰淇淋甜筒	冰淇淋甜筒 🍦
冰淇淋蛋卷	冰淇淋蛋卷 🍦
冰激凌	冰激凌 🍦 🍧
冰激淋	冰激淋 🍨️
冰球	冰球 🏏 🏑 🏒 🏒️
冰球杆和冰球	冰球杆和冰球 🏒
冰球球门	冰球球门 🥅
冰球门	冰球门 🥅
冰球龙门	冰球龙门 🥅
冰雪世界	冰雪世界 ❄️
冰霜	冰霜 🥶
冰鞋	冰鞋 ⛸️
冲凉	冲凉 🧼 🧽 🚿 🚿️
冲凉缸	冲凉缸 🧼
冲击	冲击 💥
冲咗凉	冲咗凉 🧽
冲天炮	冲天炮 🧨
冲浪	冲浪 🌊 🏄‍♀️ 🏄‍♂️ 🏄🏻
冲浪女	冲浪女 🏄🏻‍♀️
冲浪客	冲浪客 🏄‍♀️ 🏄‍♂️
冲浪手	冲浪手 🏄‍♀️ 🏄‍♂️
冲浪男	冲浪男 🏄🏻‍♂️
冲浪的人	冲浪的人 🏄‍♀️ 🏄‍♂️
冲浪的女人	冲浪的女人 🏄‍♀️
冲浪的男人	冲浪的男人 🏄‍♂️
冲浪者	冲浪者 🏄 🏄‍♀️ 🏄‍♂️
冲浪运动	冲浪运动 🏄‍♀️ 🏄‍♂️
决斗	决斗 🤺
冷	冷 ❄️ 🥶 🧊
冷冻	冷冻 🥶
冷啊	冷啊 🥶
冷杉	冷杉 🌲
冷汗直流	冷汗直流 😰
冷淡	冷淡 🥶 😑 😒
冷漠	冷漠 😶️
冷球	冷球 🧶
冷笑	冷笑 😏 😏️ 😼
冷笑嘅猫样	冷笑嘅猫样 😼
冷笑嘅表情	冷笑嘅表情 😏
冷笑的小猫	冷笑的小猫 😼
冷笑的猫	冷笑的猫 😼
冷笑的猫咪	冷笑的猫咪 😼
冷笑的猫脸	冷笑的猫脸 😼
冷笑的表情	冷笑的表情 😏
冷面	冷面 🥶
冻	冻 🥶 🧊
冻伤	冻伤 🥶
冻寒	冻寒 🥶
冻疮	冻疮 🥶
冻结	冻结 🥶
冻酸奶	冻酸奶 🍦
冼朴	冼朴 🖖
冼朴手势	冼朴手势 🖖
凄惨	凄惨 ☹️
准入券	准入券 🎫
准备伸手拥抱的快乐表情	准备伸手拥抱的快乐表情 🤗
准备起飞了	准备起飞了 🛫
准确	准确 🎯️
凉鞋	凉鞋 👡 👡️ 🩴
凋谢	凋谢 🥀
凋谢嘅玫瑰	凋谢嘅玫瑰 🥀
凋谢嘅花	凋谢嘅花 🥀
凋谢的玫瑰	凋谢的玫瑰 🥀
凋谢的花	凋谢的花 🥀
凋零	凋零 🥀
减	减 ➖ ➖️
减去	减去 ➖
减号	减号 ➖
减号标志	减号标志 ➖
减法	减法 ➖
减法符号	减法符号 ➖
几内亚	几内亚 🇬🇳
几内亚国旗	几内亚国旗 🇬🇳
几内亚旗	几内亚旗 🇬🇳
几内亚比索	几内亚比索 🇬🇼
几内亚比索国旗	几内亚比索国旗 🇬🇼
几内亚比绍	几内亚比绍 🇬🇼
几内亚比绍国旗	几内亚比绍国旗 🇬🇼
几内亚比绍旗	几内亚比绍旗 🇬🇼
几好	几好 👍
几滴血	几滴血 🩸
几片披萨	几片披萨 🍕
凤梨	凤梨 🍍 🍍️
凭条	凭条 🧾
凯兰崔尔	凯兰崔尔 🧝‍♀️
凯迪拉克玛格丽塔	凯迪拉克玛格丽塔 🍹
凳	凳 🪑
凶徒	凶徒 🦹‍♀️ 🦹‍♂️
凶眼	凶眼 🧿
凸月	凸月 🌔 🌖
出丑	出丑 🤡
出事了	出事了 🚨️
出入口	出入口 🚪
出入孔	出入孔 🕳
出冷汗的表情	出冷汗的表情 😓 😰
出发	出发 🛫
出国	出国 🚢️ 🛄 🛅
出嫁	出嫁 👰
出席	出席 🎫
出汗	出汗 🥵 😰
出洋相	出洋相 🤡
出海	出海 🚢️
出港	出港 🛫
出游	出游 🚙️
出租车	出租车 🚕 🚕️ 🚖
出租车驶来	出租车驶来 🚖
出粮日	出粮日 💰
出航	出航 ⛵️
出色	出色 🤩
出血	出血 🩸
出行	出行 🧭 🧳
出行者	出行者 🧳
出警	出警 🚨️
出货	出货 🚚
击中	击中 ⚡️ 🎯️
击剑	击剑 🤺
击剑者	击剑者 🤺
击剑运动员	击剑运动员 🤺
击掌	击掌 ✋ 🖐 🖐🏻️ 🙌 🙏 🙏🏻️
凿	凿 ⛏️
凿斧	凿斧 ⛏️
刀	刀 🍴 🔪 🔪️ 🗡
刀具	刀具 🍴 🔪
刀叉	刀叉 🍴 🍴️ 🍽
刀叉同碟	刀叉同碟 🍽
刀片	刀片 ⚙️
分区	分区 🏘
分手	分手 💔️
分析报告	分析报告 📊️
分类帐	分类帐 📒
切	切 🤪
切成薄片	切成薄片 🥒
切换	切换 🎚
切达起司	切达起司 🧀
划独木舟	划独木舟 🛶
划航线	划航线 🧭
划船	划船 ⛵️ 🚣‍♀️ 🚣‍♂️ 🚣🏻 🚤 🛥 🛶
划船女	划船女 🚣🏻‍♀️
划船男	划船男 🚣🏻‍♂️
划船的人	划船的人 🚣 🚣‍♂️
划船的女人	划船的女人 🚣‍♀️
划船的女性	划船的女性 🚣‍♀️
划船的男人	划船的男人 🚣‍♂️
划船的男性	划船的男性 🚣‍♂️
划艇	划艇 🚣‍♀️ 🚣‍♂️ 🚣🏻 🛶
划艇嘅女人	划艇嘅女人 🚣‍♀️
划艇嘅男人	划艇嘅男人 🚣‍♂️
划艇女	划艇女 🚣🏻‍♀️
划艇男	划艇男 🚣🏻‍♂️
列印机	列印机 🖨️
列支敦士登	列支敦士登 🇱🇮
列支敦士登国旗	列支敦士登国旗 🇱🇮
列支敦士登旗	列支敦士登旗 🇱🇮
列支敦斯登	列支敦斯登 🇱🇮
列支敦斯登国旗	列支敦斯登国旗 🇱🇮
列车组	列车组 🚂
刚刚降落	刚刚降落 🛬
刚果	刚果 🇨🇩 🇨🇬
刚果-布拉柴维尔	刚果-布拉柴维尔 🇨🇬
刚果-金沙萨	刚果-金沙萨 🇨🇩
刚果共和国	刚果共和国 🇨🇬
刚果共和国国旗	刚果共和国国旗 🇨🇬
刚果国旗	刚果国旗 🇨🇩 🇨🇬
刚果旗	刚果旗 🇨🇩 🇨🇬
刚果民主共和国	刚果民主共和国 🇨🇩
刚果民主共和国国旗	刚果民主共和国国旗 🇨🇩
刚果金	刚果金 🇨🇩
刚果（布拉萨）	刚果（布拉萨） 🇨🇬
刚果（布拉萨）国旗	刚果（布拉萨）国旗 🇨🇬
刚果（布）	刚果（布） 🇨🇬
刚果（布）国旗	刚果（布）国旗 🇨🇬
刚果（金夏沙）	刚果（金夏沙） 🇨🇩
刚果（金夏沙）国旗	刚果（金夏沙）国旗 🇨🇩
刚果（金沙萨）	刚果（金沙萨） 🇨🇩
刚果（金沙萨）国旗	刚果（金沙萨）国旗 🇨🇩
刚果（金）	刚果（金） 🇨🇩
刚果（金）国旗	刚果（金）国旗 🇨🇩
刚温	刚温 ☺️ 😊
创口贴	创口贴 🩹
创可贴	创可贴 🩹
创意设计师	创意设计师 👨‍🎨 👩‍🎨
创意设计者	创意设计者 👨‍🎨 👩‍🎨
初中	初中 🏫 🏫️
初学者	初学者 🔰
初等学校	初等学校 🏫
初级中学	初级中学 🏫
删剪掉的不雅语言	删剪掉的不雅语言 🤬
判决书	判决书 📜
判头	判头 👷‍♀️ 👷‍♂️
刨冰	刨冰 🍧 🍧️
利乐包	利乐包 🧃
利乐包果汁	利乐包果汁 🧃
利事	利事 🧧
利事封	利事封 🧧
利市	利市 🧧
利市封	利市封 🧧
利是	利是 🧧
利是封	利是封 🧧
利比亚	利比亚 🇱🇾
利比亚国旗	利比亚国旗 🇱🇾
利比亚旗	利比亚旗 🇱🇾
利比里亚	利比里亚 🇱🇷
利比里亚国旗	利比里亚国旗 🇱🇷
利比里亚旗	利比里亚旗 🇱🇷
别乱讲	别乱讲 🙊️
别乱说	别乱说 🙊️
别作声	别作声 🤫
别出声	别出声 🤫
别在意	别在意 🙏🏻️
别墅	别墅 🏡️
别墅区	别墅区 🏘️
别客气	别客气 ☺️ 😉 😊
别开枪	别开枪 🙌
别想了	别想了 👎 🙅‍♀️ 🙅‍♂️
别担心	别担心 😉
别拍我	别拍我 🤦‍♀️ 🤦‍♂️
别烦我	别烦我 😑️
别理我	别理我 😑️
别说	别说 🫢
别说了	别说了 🤐️ 🫢
别说话	别说话 🤐 🫢
别跟我说	别跟我说 🤦‍♀️ 🤦‍♂️
别针	别针 🧷
别闹	别闹 😆 🙄
别骗我	别骗我 😳️
刮	刮 🪒
刮胡	刮胡 🪒
刮胡刀	刮胡刀 🪒
刮胡子	刮胡子 🪒
到期	到期 ✌️
到达	到达 🛬
制作	制作 🎬
制作人	制作人 🎬
制图	制图 🧭
制图员	制图员 🧭
制图学	制图学 🧭
制图师	制图师 🧭
制图法	制图法 🧭
制图者	制图者 🧭
制服	制服 🥋
制片	制片 🎬
制片厂	制片厂 🎬
制造	制造 👨‍🏭 👩‍🏭
刷	刷 🧽
刷具	刷具 🖌
刷子	刷子 🖌
刷洗	刷洗 🧽
刹到你	刹到你 😍
刺猥	刺猥 🦔
刺猬	刺猬 🦔
刺绣	刺绣 🧵
刺身	刺身 🍣
刻薄	刻薄 😼
剁刀	剁刀 🔪
剂量	剂量 🧪
剃	剃 🪒
剃刀	剃刀 🪒
剃发	剃发 💇‍♀️ 💇‍♂️
剃头	剃头 💇‍♀️ 💇‍♂️ 💇🏻
剃头女	剃头女 💇🏻‍♀️
剃头男	剃头男 💇🏻‍♂️
剃毛	剃毛 🪒
剃胡	剃胡 🪒
剃胡子	剃胡子 🪒
剃胡须	剃胡须 🪒
剃须	剃须 🪒
剃须刀	剃须刀 🪒
剉冰	剉冰 🍧
前	前 ➡️ ⬆️
剑	剑 ⚔️ 🗡 🤺
剑击	剑击 🤺
剑击运动员	剑击运动员 🤺
剑战	剑战 🤺
剑斗	剑斗 🤺
剔	剔 ☑️ ✅ ✔️
剔取	剔取 ✅ ✔️
剔取框	剔取框 ☑️
剔取符号	剔取符号 ✅ ✔️
剔号	剔号 ✅ ✔️
剔选	剔选 ✔️
剔选格	剔选格 ☑️
剔选框	剔选框 ☑️
剔选符号	剔选符号 ✅ ✔️
剥皮的香蕉	剥皮的香蕉 🍌
剧场	剧场 🎭
剧毒	剧毒 ☠️
剧院	剧院 🎫 🎭
剪	剪 ✂️
剪了我的头发	剪了我的头发 💇‍♂️
剪你头发	剪你头发 💇‍♀️ 💇‍♂️
剪刀	剪刀 ✂️
剪刀手势	剪刀手势 ✌️
剪切板	剪切板 📋️
剪发	剪发 💇‍♀️ 💇‍♂️ 💇🏻 💈
剪发女	剪发女 💇🏻‍♀️
剪发店	剪发店 💈
剪发男	剪发男 💇🏻‍♂️
剪头	剪头 💇‍♀️ 💇‍♂️
剪头发	剪头发 💇‍♀️ 💇‍♂️ 💇🏻
剪头发女	剪头发女 💇🏻‍♀️
剪头发男	剪头发男 💇🏻‍♂️
剪好头发	剪好头发 💁‍♀️ 💁‍♂️
剪子	剪子 ✂️
剪我头发	剪我头发 💇‍♀️ 💇‍♂️
剪紧头发嘅女人	剪紧头发嘅女人 💇‍♀️
剪紧头发嘅男人	剪紧头发嘅男人 💇‍♂️
剪贴板	剪贴板 📋 📋️
剪贴簿	剪贴簿 📋
剪辑	剪辑 🎬️
副厨	副厨 👨‍🍳 👩‍🍳
割	割 🈹️
力学	力学 🧰
力量	力量 💪🏻️
办公	办公 👨‍💼 👩‍💼
办公包	办公包 💼
办公大楼	办公大楼 🏢
办公室	办公室 🏢 💼
办公室人员	办公室人员 👨‍💼 👩‍💼
办公室助理	办公室助理 👨‍💼 👩‍💼
办公室女职员	办公室女职员 👩‍💼
办公室工作人员	办公室工作人员 👨‍💼 👩‍💼
办公室男职员	办公室男职员 👨‍💼
办公室职员	办公室职员 👨‍💼 👩‍💼 🧑‍💼
办公时间	办公时间 🈺️
办公楼	办公楼 🏢 🏢️
功夫	功夫 🥋
功课	功课 📚
加	加 ➕ ➕️
加倍	加倍 ⏫ ⏬
加倍又加倍	加倍又加倍 🧹
加倍又加倍劳身又费神	加倍又加倍劳身又费神 🧹
加冕	加冕 🫅🏻
加冕女	加冕女 🤴🏻
加冕男	加冕男 👸🏻️
加号	加号 ➕
加号标志	加号标志 ➕
加密	加密 🔐️
加彭	加彭 🇬🇦
加彭国旗	加彭国旗 🇬🇦
加拿大	加拿大 🇨🇦
加拿大国旗	加拿大国旗 🇨🇦
加拿大旗	加拿大旗 🇨🇦
加拿大枫叶	加拿大枫叶 🍁
加油	加油 ⛽️ 👏 😼️
加油机器	加油机器 ⛽️
加油枪	加油枪 ⛽️
加油站	加油站 ⛽️
加法	加法 ➕
加法符号	加法符号 ➕
加热	加热 ♨️
加纳	加纳 🇬🇭
加纳国旗	加纳国旗 🇬🇭
加纳旗	加纳旗 🇬🇭
加蓬	加蓬 🇬🇦
加蓬国旗	加蓬国旗 🇬🇦
加蓬旗	加蓬旗 🇬🇦
加那利群岛	加那利群岛 🇮🇨
加那利群岛国旗	加那利群岛国旗 🇮🇨
加那利群岛旗	加那利群岛旗 🇮🇨
加那利群岛旗帜	加那利群岛旗帜 🇮🇨
务农者	务农者 👨‍🌾 👩‍🌾
动力轮椅	动力轮椅 👨‍🦼 👩‍🦼 🦼
动心	动心 💓 💗
动机	动机 🎗
动物公仔	动物公仔 🧸
动物园的动物	动物园的动物 🦍
动物园里的动物	动物园里的动物 🦍
动物的脸	动物的脸 🦊
动物脚印	动物脚印 🐾
动物足印	动物足印 🐾
动车	动车 🚅 🚅️
助力车	助力车 🏍
助动车	助动车 🏍
助听器	助听器 🦻 🦻🏻
助晒剂	助晒剂 🧴
努力	努力 😓
努力学习	努力学习 🙇‍♀️ 🙇‍♂️
努力思考	努力思考 🙇‍♀️ 🙇‍♂️
劲可爱	劲可爱 😍
劲紧张	劲紧张 😰
劲辣	劲辣 🥵
劳作	劳作 ⚒️
劳动	劳动 ⚒️
劳工	劳工 👨🏻‍🏭 🧑🏻‍🏭
劳工女	劳工女 👩🏻‍🏭
劳工男	劳工男 👨🏻‍🏭
劳身又费神	劳身又费神 🧹
势利	势利 🤑️
勋章	勋章 🎖 🎖️ 🏅 🥇 🥈 🥉
勒苟拉斯	勒苟拉斯 🧝‍♂️
勤力｜冒汗	勤力｜冒汗 😓
勺	勺 🥄
勺子	勺子 🥄
勾	勾 ✅ ✅️ ✔️ 🪝
勾勾	勾勾 ✅ ✔️
勾号	勾号 ✅ ✔️
勾选	勾选 ☑️ ✅ ✅️ ✔️
勾选符号	勾选符号 ☑️ ✅ ✔️
勿丢垃圾	勿丢垃圾 🚯 🚯️
勿乱丢垃圾	勿乱丢垃圾 🚮
勿扔垃圾	勿扔垃圾 🚯 🚯️
勿扰	勿扰 🔕️
勿随手乱丢	勿随手乱丢 🚮
包头	包头 🤕
包头巾	包头巾 👳‍♀️ 👳‍♂️ 🧕
包头巾嘅人	包头巾嘅人 👳
包头巾嘅女人	包头巾嘅女人 👳‍♀️
包头巾嘅男人	包头巾嘅男人 👳‍♂️
包头巾的人	包头巾的人 👳
包头巾的女人	包头巾的女人 👳‍♀️
包头巾的男人	包头巾的男人 👳‍♂️
包工	包工 👷‍♀️ 👷‍♂️
包带	包带 🩹
包心菜	包心菜 🥬
包心菜叶	包心菜叶 🥬
包扎	包扎 🤕
包着绷带的表情	包着绷带的表情 🤕
包米	包米 🌽️
包绷带	包绷带 🤕
包绷带的脸	包绷带的脸 🤕
包菜	包菜 🥬
包装	包装 🎁 📦
包装盒	包装盒 🎁 🎁️
包装礼物	包装礼物 🎁
包裹	包裹 📦 📦️
包谷	包谷 🌽️
匈牙利	匈牙利 🇭🇺
匈牙利国旗	匈牙利国旗 🇭🇺
匈牙利旗	匈牙利旗 🇭🇺
匕手	匕手 🗡️
匕首	匕首 🗡
化妆	化妆 💄 💋
化妆品	化妆品 💄 🧴
化妆品樽	化妆品樽 🧴
化妆品瓶	化妆品瓶 🧴
化妆品瓶子	化妆品瓶子 🧴
化妆室	化妆室 🚻 🚻️ 🚽
化妆室标志	化妆室标志 🚻
化妆室符号	化妆室符号 🚻
化妆用具	化妆用具 🧴
化妆间	化妆间 🚽
化学	化学 ⚗️ 🧪
化学实验	化学实验 🧪
化学工作者	化学工作者 🥼
化学物质	化学物质 🧪
化学研究	化学研究 🧪
化粧室	化粧室 🚻️
化验室	化验室 🧫
北朝鲜	北朝鲜 🇰🇵
北朝鲜旗	北朝鲜旗 🇰🇵
北极	北极 🥶
北极熊	北极熊 🐻‍❄️
北韩	北韩 🇰🇵
北韩国旗	北韩国旗 🇰🇵
北韩旗	北韩旗 🇰🇵
北马其顿	北马其顿 🇲🇰
北马其顿国旗	北马其顿国旗 🇲🇰
北马其顿旗	北马其顿旗 🇲🇰
北马利安纳群岛	北马利安纳群岛 🇲🇵
北马利安纳群岛旗	北马利安纳群岛旗 🇲🇵
北马里亚纳岛	北马里亚纳岛 🇲🇵
北马里亚纳岛岛旗	北马里亚纳岛岛旗 🇲🇵
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
北马里亚纳群岛旗帜	北马里亚纳群岛旗帜 🇲🇵
匙	匙 🥄
匙羮	匙羮 🥣
匙羮同碗	匙羮同碗 🥣
匙羹	匙羹 🥄
匠人	匠人 👨‍🎨 👩‍🎨
匪徒	匪徒 🦹‍♀️ 🦹‍♂️
匹萨	匹萨 🍕
匹萨饼	匹萨饼 🍕
匹诺曹	匹诺曹 🤥
区域	区域 🏘
医学	医学 ⚕️ 🏥 🚑 🚒
医学中心	医学中心 🏥
医师	医师 👨‍⚕️ 👩‍⚕️ 🥼
医护	医护 🚑 🚒
医杖	医杖 ⚕️
医生	医生 👨‍⚕️ 👩‍⚕️ 🥼 🧑🏻‍⚕️ 🩺 😷
医生女	医生女 👩🏻‍⚕️
医生男	医生男 👨🏻‍⚕️
医用口罩	医用口罩 😷
医疗	医疗 ⚕️ 🏥 🩺
医疗中心	医疗中心 🏥
医疗口罩	医疗口罩 😷
医疗用口罩	医疗用口罩 😷
医神权杖	医神权杖 ⚕️
医者	医者 🧑🏻‍⚕️
医者女	医者女 👩🏻‍⚕️
医者男	医者男 👨🏻‍⚕️
医药	医药 💉
医院	医院 🏥 🏥️ 👨‍⚕️ 👩‍⚕️
医院职工	医院职工 👨‍⚕️ 👩‍⚕️
匿名	匿名 👤️
十	十 🔟 🔟️
十一点	十一点 🕚 🕚️
十一点三十	十一点三十 🕦
十一点半	十一点半 🕦 🕦️
十一点整	十一点整 🕚
十一点正	十一点正 🕚
十一点钟	十一点钟 🕚
十二点	十二点 🕛 🕛️
十二点三十	十二点三十 🕧
十二点半	十二点半 🕧 🕧️
十二点整	十二点整 🕛
十二点钟	十二点钟 🕛
十八禁	十八禁 🔞 🔞️
十字	十字 ✝️
十字头盔	十字头盔 ⛑️
十字架	十字架 ☦️ ✝️
十字标志	十字标志 ❌
十字绣	十字绣 🧵
十字缝	十字缝 🧵
十字路口	十字路口 🚥️ 🚦️
十字针法	十字针法 🧵
十字锄	十字锄 ⛏️️
十字镐	十字镐 ⛏️ ⛏️️
十点	十点 🕙 🕙️
十点三十	十点三十 🕥
十点半	十点半 🕥 🕥️
十点整	十点整 🕙
十点正	十点正 🕙
十点钟	十点钟 🕙
十趾吊	十趾吊 🏄‍♀️ 🏄‍♂️
千里达	千里达 🇹🇹
千里达与托贝哥	千里达与托贝哥 🇹🇹
千里达与托贝哥国旗	千里达与托贝哥国旗 🇹🇹
千里达及多巴哥	千里达及多巴哥 🇹🇹
千里达及托巴哥	千里达及托巴哥 🇹🇹
千里达及托巴哥国旗	千里达及托巴哥国旗 🇹🇹
千里达和多巴哥	千里达和多巴哥 🇹🇹
千里达和多巴哥国旗	千里达和多巴哥国旗 🇹🇹
千里达和多巴哥旗	千里达和多巴哥旗 🇹🇹
千里达国旗	千里达国旗 🇹🇹
千里达旗	千里达旗 🇹🇹
升旗	升旗 📫
升空	升空 🕴 🚀
午休	午休 💤 😴
午休时间	午休时间 💤 😴
午夜	午夜 🕛
午睡	午睡 💤 😴
午睡时间	午睡时间 💤 😴
午觉	午觉 💤
午餐盒	午餐盒 🍱
午餐精选	午餐精选 🍱
午餐袋	午餐袋 👝
半个奇异果	半个奇异果 🥝
半个牛油果	半个牛油果 🥑
半个茄子	半个茄子 🍠
半兽人	半兽人 🧌
半卡车	半卡车 🚚 🚛
半夜	半夜 🕛
半拖车	半拖车 🚛
半挂式卡车	半挂式卡车 🚛
半挂车	半挂车 🚚 🚛
半月	半月 🌓 🌓️ 🌗
半月形嘅面孔	半月形嘅面孔 🌛
半统靴	半统靴 👞
半货车	半货车 🚛
半身像	半身像 👤
半边茄子	半边茄子 🍠
半颗奇异果	半颗奇异果 🥝
半颗水果	半颗水果 🥝
半颗酪梨	半颗酪梨 🥑
华夫	华夫 🧇
华夫饼	华夫饼 🧇
协助	协助 🐕‍🦺 🦮
卑鄙	卑鄙 😼
卒	卒 ♟️
卒子	卒子 ♟️
单	单 🧾
单一音轨重复符号	单一音轨重复符号 🔂
单个音轨重复按钮	单个音轨重复按钮 🔂
单亲妈妈	单亲妈妈 👩‍👦 👩‍👧 👩‍👧‍👦
单亲家庭	单亲家庭 👨‍👦 👨‍👧 👨‍👧‍👦 👩‍👦 👩‍👧 👩‍👧‍👦
单亲爸爸	单亲爸爸 👨‍👦 👨‍👧 👨‍👧‍👦
单人票	单人票 🎟
单件式泳装	单件式泳装 🩱
单峰骆驼	单峰骆驼 🐪
单弯曲线	单弯曲线 ➰
单手举起	单手举起 🙋‍♀️ 🙋‍♂️
单曲循环	单曲循环 🔂️
单曲重播按钮	单曲重播按钮 🔂
单机手掣	单机手掣 🎮
单机游戏	单机游戏 🎮
单板	单板 🏂 🏂🏻️
单板滑雪	单板滑雪 🏂 🏂🏻️
单板滑雪者	单板滑雪者 🏂
单桅帆船	单桅帆船 ⛵️
单片眼镜	单片眼镜 🧐
单环	单环 ➰
单相思	单相思 🥰
单眼	单眼 😉
单眼镜	单眼镜 🧐
单脚滑板车	单脚滑板车 🛴
单蛇杖	单蛇杖 ⚕️
单蛇缠杖	单蛇缠杖 ⚕️
单身母亲	单身母亲 👩‍👦 👩‍👧 👩‍👧‍👦
单身父亲	单身父亲 👨‍👦 👨‍👧 👨‍👧‍👦
单车	单车 🏍 🚲 🚲️ 🚴‍♀️ 🚴‍♂️ 🚵‍♀️ 🚵‍♂️
单轨悬挂列车	单轨悬挂列车 🚟
单轨悬挂式列车	单轨悬挂式列车 🚟
单轨悬浮列车	单轨悬浮列车 🚟
单轨悬浮式列车	单轨悬浮式列车 🚟
单轨电车	单轨电车 🚄 🚅 🚆 🚇 🚈 🚉 🚊 🚝 🚝️
单边戚眉	单边戚眉 🤨
单边戚眉嘅表情	单边戚眉嘅表情 🤨
单边挑眉	单边挑眉 🤨
单边挑眉的表情	单边挑眉的表情 🤨
单边眼镜	单边眼镜 🧐
单选按钮	单选按钮 🔘
单选框	单选框 🔘️
单面煎蛋	单面煎蛋 🍳
单鞋	单鞋 👠
单首音轨重复符号	单首音轨重复符号 🔂
卖艺	卖艺 🤹🏻
卖艺女	卖艺女 🤹🏻‍♀️
卖艺男	卖艺男 🤹🏻‍♂️
卖萌	卖萌 💠️ 🥰 😊️
南三明治群岛旗帜	南三明治群岛旗帜 🇬🇸
南乔治亚与南三明治群岛	南乔治亚与南三明治群岛 🇬🇸
南乔治亚与南三明治群岛旗帜	南乔治亚与南三明治群岛旗帜 🇬🇸
南乔治亚及南桑威奇群岛	南乔治亚及南桑威奇群岛 🇬🇸
南乔治亚及南桑威奇群岛旗	南乔治亚及南桑威奇群岛旗 🇬🇸
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
南乔治亚地区及南桑威奇群岛	南乔治亚地区及南桑威奇群岛 🇬🇸
南乔治亚地区及南桑威奇群岛旗	南乔治亚地区及南桑威奇群岛旗 🇬🇸
南乔治亚岛和南桑威奇群岛	南乔治亚岛和南桑威奇群岛 🇬🇸
南乔治亚岛和南桑威奇群岛旗帜	南乔治亚岛和南桑威奇群岛旗帜 🇬🇸
南乔治亚旗	南乔治亚旗 🇬🇸
南乔治亚旗帜	南乔治亚旗帜 🇬🇸
南帽	南帽 🎩️
南朝鲜	南朝鲜 🇰🇷
南极	南极 🇦🇶
南极洲	南极洲 🇦🇶
南极洲国旗	南极洲国旗 🇦🇶
南极洲旗	南极洲旗 🇦🇶
南极洲旗帜	南极洲旗帜 🇦🇶
南桑威奇群岛旗	南桑威奇群岛旗 🇬🇸
南瓜	南瓜 🎃 🎃️
南瓜人	南瓜人 🎃️
南瓜灯	南瓜灯 🎃 🎃️
南瓜灯笼	南瓜灯笼 🎃
南瓜脸	南瓜脸 🎃 🎃️
南色鲸鱼	南色鲸鱼 🐳
南苏丹	南苏丹 🇸🇸
南苏丹国旗	南苏丹国旗 🇸🇸
南苏丹旗	南苏丹旗 🇸🇸
南非	南非 🇿🇦
南非国旗	南非国旗 🇿🇦
南非旗	南非旗 🇿🇦
南韩	南韩 🇰🇷
南韩国旗	南韩国旗 🇰🇷
南韩旗	南韩旗 🇰🇷
博内尔	博内尔 🇧🇶
博内尔国旗	博内尔国旗 🇧🇶
博内尔旗	博内尔旗 🇧🇶
博士	博士 🧑🏻‍🎓
博士女	博士女 👩🏻‍🎓
博士帽	博士帽 🎓
博士服	博士服 🎓
博士男	博士男 👨🏻‍🎓
博奈尔	博奈尔 🇧🇶
博奈尔国旗	博奈尔国旗 🇧🇶
博奈尔岛	博奈尔岛 🇧🇶
